Description;Asset;Route Name;Source Name;Asset Type;Source State;Destination State;Destination Name;Source Mode;Destination Mode;Source Interface;Destination Interface;Source Protocol;Destination Protocol;Source BW;Destination BW;S_SSM;Destination IP;Source Address;Destination Port;Source Port;Last Update;BW In Total;BW Out Total
SRT-ABC-05-004-1;SRT-ABC-05;004_LaRed-Chile_ABC05_P;LaRed-Chile;Broadcast;connecting;disconnected;RCV-ABC-1209-P;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.4;45.181.122.34;10,000;9,020;2/6/2026 09:35;427.71;435.77
SRT-ABC-04-084-7;SRT-ABC-04;084_ABC04_TELECENTRO-DNEWS_BK;ENC-9008-B;Broadcast;;disconnected;TV_MIA_B;;Listener;;ens33;;SRT;;0;;0.0.0.0;;10,684;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-021-1;SRT-ABC-04;021_ABC04_CBC02_FX-HD_BK;FX-HD_BK;Broadcast;connected;connected;CBC02;Multicast;Caller;ens34;ens33;UDP;SRT;12.26;12.26;10.77.23.58;154.197.114.205;239.77.17.58;10,022;8,999;2/6/2026 09:35;317.92;470.46
SRT-ABC-05-054-1;SRT-ABC-05;054_BBC01_ABC05_MUX-18B_BK;BBC01-MUX-18B;Broadcast;connected;connected;UTPS04;Caller;Multicast;eno1;eno2;SRT;RTP;36.09;36;0.0.0.0;238.77.25.54;189.28.24.97;10,000;10,054;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-051-1;SRT-ABC-05;051_BBC01_ABC05_MUX-13B_BK;BBC01-MUX-13B;Broadcast;connected;connected;UTPS01;Caller;Multicast;eno1;eno2;SRT;RTP;30.94;30.87;0.0.0.0;238.77.25.51;189.28.24.97;10,000;10,051;2/6/2026 09:35;427.71;435.77
SRT-ABC-04-031-1;SRT-ABC-04;031_Campo-Rural-TV_ABC04_BK;Campo Rural TV ABC BK;Broadcast;connected;connected;RCV1274B;Caller;Multicast;ens33;ens34;SRT;UDP;10.66;10.65;0.0.0.0;238.77.24.31;201.217.149.66;10,000;10,028;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-006-4;SRT-ABC-04;006_ABC_INTER-TV_DTV-SPORTS-PAN_P;DTV-SPORTS-PAN;Broadcast;;disconnected;TUVES(INTERTV-CHILE);;Listener;;ens33;;SRT;;0;;0.0.0.0;;10,206;;2/6/2026 09:35;317.92;470.46
SRT-ABC-05-021-1;SRT-ABC-05;021_LaTeleTuya-AAC-P_ABC;LaTeleTuya_P-VOS;Broadcast;disconnected;disconnected;;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.21;200.75.131.234;10,000;9,011;2/6/2026 09:35;82.13;66.17
SRT-ABC-05-023-1;SRT-ABC-05;023_TATA_ABC05_TX33-MONITOR;TX33-MONITOR;Broadcast;connected;connected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;12.95;12.57;0.0.0.0;238.77.25.23;130.250.134.179;10,000;10,002;2/6/2026 09:35;427.71;435.77
SRT-ABC-04-062-1;SRT-ABC-04;062_COBC02-ABC04_EVC01-P3;COBC02;Broadcast;connecting;disconnected;lan;Listener;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.24.62;0.0.0.0;10,000;10,050;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-055-1;SRT-ABC-04;055_LA_REDONDA_CANELA_ABC;CANELA;Broadcast;connecting;disconnected;CANELA-DEST;Caller;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.24.40;190.12.54.171;10,000;1,021;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-052-1;SRT-ABC-04;052_ABC04_CBC_U-1575-UNRE_P;REALITY;Broadcast;connected;connected;CBC-01;Multicast;Listener;ens34;ens33;UDP;SRT;12.26;12.26;10.77.23.35;0.0.0.0;239.80.17.35;10,052;8,999;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-040-1;SRT-ABC-04;040_ABC04_SIMPLE-TV-ONDIRECTV-NORTE_BK;ONDIRECTV-NORTE-BK;Broadcast;connected;connected;SIMPLE TV-BK;Multicast;Caller;ens34;ens33;UDP;SRT;10.21;10.22;10.77.54.71;138.185.64.45;239.77.40.190;2,105;8,000;2/6/2026 09:35;317.92;470.46
